region_code,sa3_name,sa3_name_lower,gcc_name,state_name,end_year,individuals,total_income,median_taxable_income,average_taxable_income,avg_income_thousand,salary_share_pct,mean_price_thousand,mean_price_value,mean_price_thousand_value,price_to_income,price_to_income_rank_city,area_sq_km
31104,Jimboomba,jimboomba,Greater Brisbane,Queensland,2018,27164,1600845532.0,53010.0,58939.0,58.939,84.6,511.825,511825.0,511.825,8.683978350497972,20,582.4333
30204,Sandgate,sandgate,Greater Brisbane,Queensland,2018,32873,1977099053.0,54032.0,60149.0,60.149,84.1,511.825,511825.0,511.825,8.509285274900664,21,31.7471
30304,Nathan,nathan,Greater Brisbane,Queensland,2018,22793,1385917321.0,51321.0,60799.0,60.799,80.7,511.825,511825.0,511.825,8.418312801197388,22,24.4776
30101,Capalaba,capalaba,Greater Brisbane,Queensland,2018,40997,2520946203.0,53113.0,61489.0,61.489,82.0,511.825,511825.0,511.825,8.323846541657858,23,89.2962
30501,Brisbane Inner,brisbane inner,Greater Brisbane,Queensland,2018,55837,3447167898.0,43726.0,61738.0,61.738,83.7,511.825,511825.0,511.825,8.290275033204834,24,13.5584
30102,Cleveland - Stradbroke,cleveland - stradbroke,Greater Brisbane,Queensland,2018,44767,2778934388.0,52060.0,62074.0,62.074,77.9,511.825,511825.0,511.825,8.245400650836098,25,480.9782
30203,Nundah,nundah,Greater Brisbane,Queensland,2018,25151,1627257762.0,57041.0,64702.0,64.702,85.6,511.825,511825.0,511.825,7.910497357114154,26,87.0317
30302,Holland Park - Yeronga,holland park - yeronga,Greater Brisbane,Queensland,2018,46902,3101567510.0,54810.0,66130.0,66.13,82.8,511.825,511825.0,511.825,7.7396794193255705,27,27.565
30202,Chermside,chermside,Greater Brisbane,Queensland,2018,40813,2733628288.0,57276.0,66988.0,66.988,81.6,511.825,511825.0,511.825,7.640547560757151,28,32.2387
30103,Wynnum - Manly,wynnum - manly,Greater Brisbane,Queensland,2018,40088,2693020099.0,57113.0,67171.0,67.171,83.6,511.825,511825.0,511.825,7.619731729466586,29,82.8585
30201,Bald Hills - Everton Park,bald hills - everton park,Greater Brisbane,Queensland,2018,24277,1638112325.0,57967.0,67473.0,67.473,79.3,511.825,511825.0,511.825,7.5856268433299245,30,35.9308
31401,The Hills District,the hills district,Greater Brisbane,Queensland,2018,50138,3426281405.0,58492.0,68340.0,68.34,80.7,511.825,511825.0,511.825,7.489391278899619,31,668.681
30401,Centenary,centenary,Greater Brisbane,Queensland,2018,18407,1286498594.0,58800.0,69884.0,69.884,78.2,511.825,511825.0,511.825,7.3239225001430945,32,16.9755
30404,The Gap - Enoggera,the gap - enoggera,Greater Brisbane,Queensland,2018,28833,2043869885.0,61603.0,70884.0,70.884,81.3,511.825,511825.0,511.825,7.220599853281418,33,96.7678
30301,Carindale,carindale,Greater Brisbane,Queensland,2018,30420,2199554373.0,59255.0,72301.0,72.301,80.3,511.825,511825.0,511.825,7.079086043069943,34,26.5106
30403,Sherwood - Indooroopilly,sherwood - indooroopilly,Greater Brisbane,Queensland,2018,27849,2035426700.0,51487.0,73091.0,73.091,76.4,511.825,511825.0,511.825,7.002572136104308,35,21.2963
