region_code,region_name,region_category,year,end_year,individuals,median_age,total_income,median_taxable_income,average_taxable_income,salary_wage_share
11303,Wagga Wagga,SA3,2019-20,2020,47977,39,2721418603,51655,56723,78.0
11303,Wagga Wagga,SA3,2020-21,2021,49440,38,2902059455,53572,58699,78.4
11303,Wagga Wagga,SA3,2021-22,2022,51126,38,3093856989,54888,60514,79.0
11401,Shoalhaven,SA3,2017-18,2018,43039,42,2129988496,42717,49483,72.4
11401,Shoalhaven,SA3,2018-19,2019,44139,42,2228742951,43808,50496,72.5
11401,Shoalhaven,SA3,2019-20,2020,44864,42,2373416946,45588,52902,72.8
11401,Shoalhaven,SA3,2020-21,2021,46477,41,2584717975,47913,55613,73.5
11401,Shoalhaven,SA3,2021-22,2022,48047,41,2723260451,48251,56679,73.8
11402,Southern Highlands,SA3,2017-18,2018,23700,43,1422616955,46761,60031,69.6
11402,Southern Highlands,SA3,2018-19,2019,24224,43,1484613068,47886,61289,69.7
11402,Southern Highlands,SA3,2019-20,2020,24672,43,1591712045,50000,64515,69.7
11402,Southern Highlands,SA3,2020-21,2021,25207,43,1693990281,53308,67203,70.2
11402,Southern Highlands,SA3,2021-22,2022,25808,43,1805229640,54166,69948,70.5
11501,Baulkham Hills,SA3,2017-18,2018,83140,41,6450219011,60970,77585,78.1
11501,Baulkham Hills,SA3,2018-19,2019,84297,41,6730850460,63478,79851,77.5
11501,Baulkham Hills,SA3,2019-20,2020,84470,42,7010818150,66221,82998,77.4
11501,Baulkham Hills,SA3,2020-21,2021,85179,42,7371780750,69205,86545,78.0
11501,Baulkham Hills,SA3,2021-22,2022,86865,42,7893696205,72195,90873,78.5
11502,Dural - Wisemans Ferry,SA3,2017-18,2018,14838,43,1047501233,51090,70591,70.0
11502,Dural - Wisemans Ferry,SA3,2018-19,2019,14995,43,1090180162,52308,72708,70.4
11502,Dural - Wisemans Ferry,SA3,2019-20,2020,14997,44,1139515804,55438,75983,70.5
11502,Dural - Wisemans Ferry,SA3,2020-21,2021,15070,43,1186156252,57761,78710,70.9
11502,Dural - Wisemans Ferry,SA3,2021-22,2022,15048,43,1236725683,59639,82185,70.8
11503,Hawkesbury,SA3,2017-18,2018,13943,42,873642477,54027,62645,78.5
11503,Hawkesbury,SA3,2018-19,2019,13993,41,896543078,55383,64053,78.3
11503,Hawkesbury,SA3,2019-20,2020,14023,42,930702618,57587,66370,78.6
11503,Hawkesbury,SA3,2020-21,2021,14030,41,968205070,59235,69010,79.1
11503,Hawkesbury,SA3,2021-22,2022,14194,41,986005499,59005,69466,78.5
11504,Rouse Hill - McGraths Hill,SA3,2017-18,2018,22218,39,1604030108,60504,72211,83.3
11504,Rouse Hill - McGraths Hill,SA3,2018-19,2019,24941,39,1881968188,63668,75469,83.2
11504,Rouse Hill - McGraths Hill,SA3,2019-20,2020,27981,39,2193297922,66583,78385,83.9
11504,Rouse Hill - McGraths Hill,SA3,2020-21,2021,31050,39,2545409543,70319,81978,84.9
11504,Rouse Hill - McGraths Hill,SA3,2021-22,2022,34262,39,2953981502,73358,86217,85.8
11601,Blacktown,SA3,2017-18,2018,75993,37,4354891032,52595,57308,87.3
11601,Blacktown,SA3,2018-19,2019,78251,37,4602236806,54038,58814,86.9
11601,Blacktown,SA3,2019-20,2020,77914,37,4714502264,55480,60509,86.5
11601,Blacktown,SA3,2020-21,2021,76680,37,4834995265,57747,63054,86.4
11601,Blacktown,SA3,2021-22,2022,78962,38,5076902497,58109,64296,86.7
11602,Blacktown - North,SA3,2017-18,2018,59813,38,4144540865,62048,69289,88.4
11602,Blacktown - North,SA3,2018-19,2019,65595,38,4670870864,63910,71211,88.2
11602,Blacktown - North,SA3,2019-20,2020,71984,38,5319954717,66360,73905,88.7
11602,Blacktown - North,SA3,2020-21,2021,78356,38,6062030460,69634,77365,89.1
11602,Blacktown - North,SA3,2021-22,2022,85968,38,6992769351,71994,81342,89.7
11603,Mount Druitt,SA3,2017-18,2018,58063,36,3095870127,50494,53316,91.2
11603,Mount Druitt,SA3,2018-19,2019,58988,36,3234310771,52031,54827,90.8
11603,Mount Druitt,SA3,2019-20,2020,57954,37,3272891426,53596,56474,90.5
11603,Mount Druitt,SA3,2020-21,2021,57613,37,3333319819,55120,57857,90.0
11603,Mount Druitt,SA3,2021-22,2022,59838,37,3497504309,54836,58450,90.5
11701,Botany,SA3,2017-18,2018,30267,35,1885794590,53504,62307,85.9
11701,Botany,SA3,2018-19,2019,32848,34,2089880359,54437,63625,85.7
11701,Botany,SA3,2019-20,2020,34340,34,2255455591,55749,65680,85.5
11701,Botany,SA3,2020-21,2021,34199,35,2397926512,60080,70117,85.2
11701,Botany,SA3,2021-22,2022,35887,35,2616913897,61589,72921,85.6
11702,Marrickville - Sydenham - Petersham,SA3,2017-18,2018,36026,36,2597040051,60737,72092,86.7
11702,Marrickville - Sydenham - Petersham,SA3,2018-19,2019,36073,36,2728301293,63557,75641,85.9
11702,Marrickville - Sydenham - Petersham,SA3,2019-20,2020,35591,36,2810065003,65907,78954,85.9
11702,Marrickville - Sydenham - Petersham,SA3,2020-21,2021,34329,37,2897550790,70646,84405,85.5
11702,Marrickville - Sydenham - Petersham,SA3,2021-22,2022,34778,37,3068638815,73037,88235,85.9
11703,Sydney Inner City,SA3,2017-18,2018,173280,31,12092025457,49265,69784,86.7
11703,Sydney Inner City,SA3,2018-19,2019,172410,32,12563055451,51973,72869,85.7
11703,Sydney Inner City,SA3,2019-20,2020,165015,32,12739863941,55278,77204,84.8
11703,Sydney Inner City,SA3,2020-21,2021,148081,34,13104299422,66369,88494,84.0
11703,Sydney Inner City,SA3,2021-22,2022,152398,34,14129202719,69192,92713,84.6
11801,Eastern Suburbs - North,SA3,2017-18,2018,84782,35,8641715715,61000,101933,72.3
11801,Eastern Suburbs - North,SA3,2018-19,2019,84809,35,8740899257,62769,103072,72.1
11801,Eastern Suburbs - North,SA3,2019-20,2020,83157,35,9047265611,65000,108797,72.0
11801,Eastern Suburbs - North,SA3,2020-21,2021,76104,37,9364987967,74461,123055,70.9
11801,Eastern Suburbs - North,SA3,2021-22,2022,76291,37,10134081226,78742,132835,71.0
11802,Eastern Suburbs - South,SA3,2017-18,2018,82637,36,6500597626,59379,78661,79.7
11802,Eastern Suburbs - South,SA3,2018-19,2019,82854,36,6747814478,61079,81437,79.4
11802,Eastern Suburbs - South,SA3,2019-20,2020,81795,36,6926458436,63366,84681,79.2
11802,Eastern Suburbs - South,SA3,2020-21,2021,78007,37,7217977194,69477,92530,78.7
11802,Eastern Suburbs - South,SA3,2021-22,2022,80487,37,7764123832,71077,96464,79.1
11901,Bankstown,SA3,2017-18,2018,82373,37,4529774150,47599,54991,82.1
11901,Bankstown,SA3,2018-19,2019,84729,37,4788100014,49193,56514,82.0
